Code,Name,Region/Country,Supergroup name
E06000047,County Durham,North East,Services and Industrial Legacy   
E06000005,Darlington,North East,Services and Industrial Legacy   
E06000001,Hartlepool,North East,Services and Industrial Legacy   
E06000002,Middlesbrough,North East,Urban Settlements
E06000057,Northumberland,North East,Countryside Living
E06000003,Redcar and Cleveland,North East,Services and Industrial Legacy   
E06000004,Stockton-on-Tees,North East,Services and Industrial Legacy   
E08000037,Gateshead,North East,Services and Industrial Legacy   
E08000021,Newcastle upon Tyne,North East,"Business, Education and Heritage Centres "
E08000022,North Tyneside,North East,Services and Industrial Legacy   
E08000023,South Tyneside,North East,Services and Industrial Legacy   
E08000024,Sunderland,North East,Services and Industrial Legacy   
E06000008,Blackburn with Darwen,North West,Urban Settlements
E06000009,Blackpool,North West,Services and Industrial Legacy   
E06000049,Cheshire East,North West,Town and Country Living
E06000050,Cheshire West and Chester,North West,Town and Country Living
E06000006,Halton,North West,Services and Industrial Legacy   
E06000007,Warrington,North West,Town and Country Living
E07000026,Allerdale,North West,Countryside Living
E07000027,Barrow-in-Furness,North West,Services and Industrial Legacy   
E07000028,Carlisle,North West,Services and Industrial Legacy   
E07000029,Copeland,North West,Services and Industrial Legacy   
E07000030,Eden,North West,Countryside Living
E07000031,South Lakeland,North West,Countryside Living
E08000001,Bolton,North West,Urban Settlements
E08000002,Bury,North West,Urban Settlements
E08000003,Manchester,North West,"Business, Education and Heritage Centres "
E08000004,Oldham,North West,Urban Settlements
E08000005,Rochdale,North West,Urban Settlements
E08000006,Salford,North West,Urban Settlements
E08000007,Stockport,North West,Town and Country Living
E08000008,Tameside,North West,Urban Settlements
E08000009,Trafford,North West,Urban Settlements
E08000010,Wigan,North West,Services and Industrial Legacy   
E07000117,Burnley,North West,Urban Settlements
E07000118,Chorley,North West,Town and Country Living
E07000119,Fylde,North West,Countryside Living
E07000120,Hyndburn,North West,Urban Settlements
E07000121,Lancaster,North West,"Business, Education and Heritage Centres "
E07000122,Pendle,North West,Urban Settlements
E07000123,Preston,North West,"Business, Education and Heritage Centres "
E07000124,Ribble Valley,North West,Countryside Living
E07000125,Rossendale,North West,Services and Industrial Legacy   
E07000126,South Ribble,North West,Town and Country Living
E07000127,West Lancashire,North West,Town and Country Living
E07000128,Wyre,North West,Countryside Living
E08000011,Knowsley,North West,Services and Industrial Legacy   
E08000012,Liverpool,North West,"Business, Education and Heritage Centres "
E08000014,Sefton,North West,Services and Industrial Legacy   
E08000013,St. Helens,North West,Services and Industrial Legacy   
E08000015,Wirral,North West,Services and Industrial Legacy   
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,Countryside Living
E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,Urban Settlements
E06000012,North East Lincolnshire,Yorkshire and The Humber,Services and Industrial Legacy   
