Code,Name,Region/Country,Country/region,Supergroup code,Supergroup name,Group code,Group name,Subgroup code,Subgroup name,
E07000098,Hertsmere,East,East,1r,Affluent England,1ar,Rural-Urban Fringe,1a1r,Rural-Urban Fringe,
E07000240,St Albans,East,East,1r,Affluent England,1ar,Rural-Urban Fringe,1a1r,Rural-Urban Fringe,
E07000102,Three Rivers,East,East,1r,Affluent England,1ar,Rural-Urban Fringe,1a1r,Rural-Urban Fringe,
E07000201,Forest Heath,East,East,1r,Affluent England,1ar,Rural-Urban Fringe,1a1r,Rural-Urban Fringe,
E09000006,Bromley,London,London,1r,Affluent England,1ar,Rural-Urban Fringe,1a1r,Rural-Urban Fringe,
E09000027,Richmond upon Thames,London,London,1r,Affluent England,1ar,Rural-Urban Fringe,1a1r,Rural-Urban Fringe,
E06000036,Bracknell Forest,South East,South East,1r,Affluent England,1ar,Rural-Urban Fringe,1a1r,Rural-Urban Fringe,
E06000040,Windsor and Maidenhead,South East,South East,1r,Affluent England,1ar,Rural-Urban Fringe,1a1r,Rural-Urban Fringe,
E07000006,South Bucks,South East,South East,1r,Affluent England,1ar,Rural-Urban Fringe,1a1r,Rural-Urban Fringe,
E07000007,Wycombe,South East,South East,1r,Affluent England,1ar,Rural-Urban Fringe,1a1r,Rural-Urban Fringe,
E07000207,Elmbridge,South East,South East,1r,Affluent England,1ar,Rural-Urban Fringe,1a1r,Rural-Urban Fringe,
E07000208,Epsom and Ewell,South East,South East,1r,Affluent England,1ar,Rural-Urban Fringe,1a1r,Rural-Urban Fringe,
E07000209,Guildford,South East,South East,1r,Affluent England,1ar,Rural-Urban Fringe,1a1r,Rural-Urban Fringe,
E07000211,Reigate and Banstead,South East,South East,1r,Affluent England,1ar,Rural-Urban Fringe,1a1r,Rural-Urban Fringe,
E07000212,Runnymede,South East,South East,1r,Affluent England,1ar,Rural-Urban Fringe,1a1r,Rural-Urban Fringe,
E07000213,Spelthorne,South East,South East,1r,Affluent England,1ar,Rural-Urban Fringe,1a1r,Rural-Urban Fringe,
E07000214,Surrey Heath,South East,South East,1r,Affluent England,1ar,Rural-Urban Fringe,1a1r,Rural-Urban Fringe,
E07000217,Woking,South East,South East,1r,Affluent England,1ar,Rural-Urban Fringe,1a1r,Rural-Urban Fringe,
E07000176,Rushcliffe,East Midlands,East Midlands,1r,Affluent England,1br,Thriving Rural,1b1r,Affluent rural,
E06000056,Central Bedfordshire,East,East,1r,Affluent England,1br,Thriving Rural,1b2r,Rural Growth Areas,
E07000012,South Cambridgeshire,East,East,1r,Affluent England,1br,Thriving Rural,1b1r,Affluent rural,
E07000068,Brentwood,East,East,1r,Affluent England,1br,Thriving Rural,1b2r,Rural Growth Areas,
E07000070,Chelmsford,East,East,1r,Affluent England,1br,Thriving Rural,1b2r,Rural Growth Areas,
E07000071,Colchester,East,East,1r,Affluent England,1br,Thriving Rural,1b2r,Rural Growth Areas,
E07000072,Epping Forest,East,East,1r,Affluent England,1br,Thriving Rural,1b2r,Rural Growth Areas,
E07000077,Uttlesford,East,East,1r,Affluent England,1br,Thriving Rural,1b2r,Rural Growth Areas,
E07000096,Dacorum,East,East,1r,Affluent England,1br,Thriving Rural,1b2r,Rural Growth Areas,
E07000242,East Hertfordshire,East,East,1r,Affluent England,1br,Thriving Rural,1b2r,Rural Growth Areas,
E07000099,North Hertfordshire,East,East,1r,Affluent England,1br,Thriving Rural,1b2r,Rural Growth Areas,
E06000037,West Berkshire,South East,South East,1r,Affluent England,1br,Thriving Rural,1b2r,Rural Growth Areas,
E06000041,Wokingham,South East,South East,1r,Affluent England,1br,Thriving Rural,1b1r,Affluent rural,
E07000004,Aylesbury Vale,South East,South East,1r,Affluent England,1br,Thriving Rural,1b2r,Rural Growth Areas,
E07000005,Chiltern,South East,South East,1r,Affluent England,1br,Thriving Rural,1b1r,Affluent rural,
E07000084,Basingstoke and Deane,South East,South East,1r,Affluent England,1br,Thriving Rural,1b2r,Rural Growth Areas,
E07000085,East Hampshire,South East,South East,1r,Affluent England,1br,Thriving Rural,1b1r,Affluent rural,
E07000089,Hart,South East,South East,1r,Affluent England,1br,Thriving Rural,1b1r,Affluent rural,
E07000093,Test Valley,South East,South East,1r,Affluent England,1br,Thriving Rural,1b2r,Rural Growth Areas,
E07000094,Winchester,South East,South East,1r,Affluent England,1br,Thriving Rural,1b1r,Affluent rural,
E07000110,Maidstone,South East,South East,1r,Affluent England,1br,Thriving Rural,1b2r,Rural Growth Areas,
E07000111,Sevenoaks,South East,South East,1r,Affluent England,1br,Thriving Rural,1b2r,Rural Growth Areas,
E07000115,Tonbridge and Malling,South East,South East,1r,Affluent England,1br,Thriving Rural,1b2r,Rural Growth Areas,
E07000116,Tunbridge Wells,South East,South East,1r,Affluent England,1br,Thriving Rural,1b2r,Rural Growth Areas,
E07000177,Cherwell,South East,South East,1r,Affluent England,1br,Thriving Rural,1b2r,Rural Growth Areas,
E07000179,South Oxfordshire,South East,South East,1r,Affluent England,1br,Thriving Rural,1b1r,Affluent rural,
E07000180,Vale of White Horse,South East,South East,1r,Affluent England,1br,Thriving Rural,1b1r,Affluent rural,
E07000181,West Oxfordshire,South East,South East,1r,Affluent England,1br,Thriving Rural,1b1r,Affluent rural,
E07000210,Mole Valley,South East,South East,1r,Affluent England,1br,Thriving Rural,1b1r,Affluent rural,
E07000215,Tandridge,South East,South East,1r,Affluent England,1br,Thriving Rural,1b2r,Rural Growth Areas,
E07000216,Waverley,South East,South East,1r,Affluent England,1br,Thriving Rural,1b1r,Affluent rural,
E07000227,Horsham,South East,South East,1r,Affluent England,1br,Thriving Rural,1b2r,Rural Growth Areas,
E07000228,Mid Sussex,South East,South East,1r,Affluent England,1br,Thriving Rural,1b2r,Rural Growth Areas,
E08000021,Newcastle upon Tyne,North East,North East,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
E08000003,Manchester,North West,North West,2r,"Business, Education and Heritage Centres ",2br,University Towns and Cities,2b1r,University Towns and Cities,
E07000121,Lancaster,North West,North West,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
E07000123,Preston,North West,North West,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
E08000012,Liverpool,North West,North West,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
E06000014,York,Yorkshire and The Humber,Yorkshire and The Humber,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
E08000019,Sheffield,Yorkshire and The Humber,Yorkshire and The Humber,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
E08000035,Leeds,Yorkshire and The Humber,Yorkshire and The Humber,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
E06000018,Nottingham,East Midlands,East Midlands,2r,"Business, Education and Heritage Centres ",2br,University Towns and Cities,2b1r,University Towns and Cities,
E07000138,Lincoln,East Midlands,East Midlands,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
E07000222,Warwick,West Midlands,West Midlands,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
E08000026,Coventry,West Midlands,West Midlands,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
E07000008,Cambridge,East,East,2r,"Business, Education and Heritage Centres ",2br,University Towns and Cities,2b1r,University Towns and Cities,
E07000241,Welwyn Hatfield,East,East,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
E07000148,Norwich,East,East,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
E09000021,Kingston upon Thames,London,London,2r,"Business, Education and Heritage Centres ",2br,University Towns and Cities,2b1r,University Towns and Cities,
E06000043,Brighton and Hove,South East,South East,2r,"Business, Education and Heritage Centres ",2br,University Towns and Cities,2b1r,University Towns and Cities,
E06000044,Portsmouth,South East,South East,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
E06000038,Reading,South East,South East,2r,"Business, Education and Heritage Centres ",2br,University Towns and Cities,2b1r,University Towns and Cities,
E06000045,Southampton,South East,South East,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
E07000061,Eastbourne,South East,South East,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
E07000106,Canterbury,South East,South East,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
E07000178,Oxford,South East,South East,2r,"Business, Education and Heritage Centres ",2br,University Towns and Cities,2b1r,University Towns and Cities,
E06000022,Bath and North East Somerset,South West,South West,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
E06000028,Bournemouth,South West,South West,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
E06000023,"Bristol, City of",South West,South West,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
E06000026,Plymouth,South West,South West,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
E07000041,Exeter,South West,South West,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
